Раскрой,Деталь,Фото,,Название операции,конусы,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
01.00.03.08,01.00.03.Р45,,,резка металического листа,"оц.0,55",1250,2200,27500,107277,1,1,"1072,77","4,350","1196,16",1196,"1817,0","7,3",,,760,11,55,,,,,,,,
01.00.03.08,01.00.03.Р46,,,резка металического листа,"оц.0,55",1250,2200,27500,137837,1,1,"1378,37","5,589","1536,91",1537,"1897,0","7,8",,,760,13,60,,,,,,,,
01.00.03.08,01.00.03.Р47,,,резка металического листа,"оц.0,55",1250,2200,27500,139879,1,1,"1398,79","5,672","1559,68",1560,"2248,0","9,8",,,760,19,75,,,,,,,,
01.00.03.08,01.00.03.Р48,,,резка металического листа,"оц.0,55",1250,2200,27500,31311,6,4,"1878,66","7,617","349,12",2095,"919,0","4,1",,,760,8,8,,,,,,,,
01.00.03.08,01.00.03.Р49,,,резка металического листа,"оц.0,55",1250,2200,27500,54536,1,1,"545,36","2,211","608,09",608,"1065,0","4,5",,,760,8,34,,,,,,,,
01.00.03.08,01.00.03.Р50,,,резка металического листа,"оц.0,55",1250,2200,27500,1180550,1,1,"11805,5","47,867","13163,38",13163,"4269,0","15,8",,,760,17,120,,,,,,,,
01.00.03.08,01.00.03.Р51,,,резка металического листа,"оц.0,55",1250,2200,27500,255,20,8,51,"0,207","2,84",57,64,"0,4",,,760,1,0,,,,,,,,
,,,,,,,,,,,,"24663,21","10,3",,27500,21090,,,,,228,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,01.00.03.09,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
01.00.03.09,01.00.03.Р52,,,резка металического листа,оц.2.5мм,1250,1520,19000,22207,48,8,"10659,36","64,479","255,23",12251,1117,"46,9",333,,19980,,1172,,,,,,,,
01.00.03.09,01.00.03.Р53,,,резка металического листа,оц.2.5мм,1250,1520,19000,9454,24,4,"2268,96","13,725","108,66",2608,359,"15,1",,,19980,,753,,,,,,,,
